Url,Name,ImageUrl,Price,ListPrice,CustomerReviews,ProductRatings,Offers
https://www.flipkart.com/apple-iphone-se-white-64-gb-includes-earpods-power-adapter/p/itmaf546e27c4eaf?pid=MOBFRFXHMEZRCXRV&lid=LSTMOBFRFXHMEZRCXRVDHSVH1&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFRFXHMEZRCXRV.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",https://rukminim1.flixcart.com/image/312/312/k9loccw0/mobile/6/b/z/apple-iphone-se-mxd12hn-a-original-imafrcqfsuzwa3dz.jpeg?q=70,"₹35,900","₹39,900"," 6,973 Reviews",4.5,10% off

https://www.flipkart.com/poco-c3-lime-green-32-gb/p/itmdbc41b273ff7c?pid=MOBFVQJ5RMHGCWHF&lid=LSTMOBFVQJ5RMHGCWHFCVNU10&marketplace=FLIPKART&srno=s_2_25&otracker=search&otracker1=search&fm=SEARCH&iid=432b5fd6-711d-43b4-bdd8-26121f59bccb.MOBFVQJ5RMHGCWHF.SEARCH&ppt=sp&ppn=sp&qH=eb4af0bf07c16429,"POCO C3 (Lime Green, 32 GB)",https://rukminim1.flixcart.com/image/312/312/kfvfwy80/mobile/z/f/q/poco-c3-mzb07rlin-original-imafw8qzjeyyh44a.jpeg?q=70,"₹7,499","₹9,999"," 6,498 Reviews",4.3,25% off

https://www.flipkart.com/realme-7i-fusion-green-64-gb/p/itm13f2c8bee336b?pid=MOBFVH837JMRENEB&lid=LSTMOBFVH837JMRENEBKFTD7A&marketplace=FLIPKART&srno=s_2_26&otracker=search&otracker1=search&fm=SEARCH&iid=432b5fd6-711d-43b4-bdd8-26121f59bccb.MOBFVH837JMRENEB.SEARCH&ppt=sp&ppn=sp&qH=eb4af0bf07c16429,"Realme 7i (Fusion Green, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kfpq5jk0/mobile/x/9/e/realme-7i-rmx2103-original-imafw3xgjfuhhgxw.jpeg?q=70,"₹11,999","₹13,999"," 13,256 Reviews",4.3,14% off

https://www.flipkart.com/poco-m2-slate-blue-128-gb/p/itmf3c6e76492ff5?pid=MOBFV9V9XZJJ9NUV&lid=LSTMOBFV9V9XZJJ9NUVJ7C306&marketplace=FLIPKART&srno=s_2_27&otracker=search&otracker1=search&fm=SEARCH&iid=432b5fd6-711d-43b4-bdd8-26121f59bccb.MOBFV9V9XZJJ9NUV.SEARCH&ppt=sp&ppn=sp&qH=eb4af0bf07c16429,"POCO M2 (Slate Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/n/u/v/poco-m2-mzb9920in-original-imafvdrfhhuzcnyw.jpeg?q=70,"₹12,499","₹14,999"," 16,267 Reviews",4.3,16% off

https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH74TJR7O&marketplace=FLIPKART&srno=s_2_28&otracker=search&otracker1=search&fm=SEARCH&iid=432b5fd6-711d-43b4-bdd8-26121f59bccb.MOBFV8RYNA4FVEH7.SEARCH&ppt=sp&ppn=sp&qH=eb4af0bf07c16429,"Redmi 9i (Nature Green, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/u/h/m/redmi-9i-mzb0818in-original-imafveh4xva2fes2.jpeg?q=70,"₹8,299","₹9,999"," 7,548 Reviews",4.3,17% off

https://www.flipkart.com/oppo-reno2-f-sky-white-256-gb/p/itm8413e7eb0b195?pid=MOBFTX93JK4UGWZS&lid=LSTMOBFTX93JK4UGWZSSPNQBC&marketplace=FLIPKART&srno=s_2_29&otracker=search&otracker1=search&fm=SEARCH&iid=432b5fd6-711d-43b4-bdd8-26121f59bccb.MOBFTX93JK4UGWZS.SEARCH&ppt=sp&ppn=sp&qH=eb4af0bf07c16429,"OPPO Reno2 F (Sky White, 256 GB)",https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/e/k/j/reno2-f-128-d-cph1989-oppo-8-original-imafh2ctdgd7umda.jpeg?q=70,"₹17,990","₹19,990"," 4,783 Reviews",4.4,10% off

https://www.flipkart.com/poco-x3-cobalt-blue-128-gb/p/itm5eabfda5f2dd4?pid=MOBFVQJ5TZTF5JHC&lid=LSTMOBFVQJ5TZTF5JHCO0EDJU&marketplace=FLIPKART&srno=s_2_30&otracker=search&otracker1=search&fm=SEARCH&iid=432b5fd6-711d-43b4-bdd8-26121f59bccb.MOBFVQJ5TZTF5JHC.SEARCH&ppt=sp&ppn=sp&qH=eb4af0bf07c16429,"POCO X3 (Cobalt Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/f/x/r/poco-x3-mzb07z2in-original-imafvt3hz54npsba.jpeg?q=70,"₹18,499","₹20,999"," 6,392 Reviews",4.4,11% off

